[2025-06-23 15:51:04]   14 | INFO     | **************************************************
[2025-06-23 15:51:04]   49 | INFO     | Initiating data ingestion
[2025-06-23 15:51:04]   21 | INFO     | Downloading data from https://github.com/ArpitKadam/Book-Recommender-App/raw/refs/heads/main/research/archive.zip
[2025-06-23 15:51:04]   24 | INFO     | Created directory artifacts\data_ingestion\raw_data
[2025-06-23 15:51:04]   26 | INFO     | File name: archive.zip
[2025-06-23 15:51:09]   29 | INFO     | Data downloaded successfully to: artifacts\data_ingestion\raw_data\archive.zip
[2025-06-23 15:51:09]   39 | INFO     | Created directory artifacts\data_ingestion\ingested_data
[2025-06-23 15:51:09]   42 | INFO     | Zip file extracted successfully to artifacts\data_ingestion\ingested_data
[2025-06-23 15:51:09]   52 | INFO     | Data ingestion completed successfully
[2025-06-23 15:51:09]   16 | INFO     | **************************************************
[2025-06-23 15:51:09]   94 | INFO     | Initiating data validation
[2025-06-23 15:51:11]   23 | INFO     | Ratings DataFrame Shape (1149780, 3)
[2025-06-23 15:51:11]   24 | INFO     | Books DataFrame Shape (271360, 8)
[2025-06-23 15:51:11]   26 | INFO     | Ratings DataFrame Columns Index(['User-ID', 'ISBN', 'Book-Rating'], dtype='object')
[2025-06-23 15:51:11]   27 | INFO     | Books DataFrame Columns Index(['ISBN', 'Book-Title', 'Book-Author', 'Year-Of-Publication', 'Publisher',
       'Image-URL-S', 'Image-URL-M', 'Image-URL-L'],
      dtype='object')
[2025-06-23 15:51:11]   29 | INFO     | Dropping Unnecessary Columns from Ratings DataFrame
[2025-06-23 15:51:11]   32 | INFO     | Renaming Columns in Books DataFrame
[2025-06-23 15:51:11]   40 | INFO     | Columns Renamed Successfully
[2025-06-23 15:51:11]   41 | INFO     | New column names: Index(['ISBN', 'title', 'author', 'year', 'publisher', 'url'], dtype='object')
[2025-06-23 15:51:11]   43 | INFO     | Renaming Columns in Ratings DataFrame
[2025-06-23 15:51:11]   48 | INFO     | Columns Renamed Successfully
[2025-06-23 15:51:11]   49 | INFO     | New column names: Index(['user_id', 'ISBN', 'rating'], dtype='object')
[2025-06-23 15:51:11]   51 | INFO     | Only keeping users with more than 150 ratings
[2025-06-23 15:51:11]   55 | INFO     | Ratings DataFrame Shape after filtering: (582644, 3)
[2025-06-23 15:51:11]   57 | INFO     | Merging Ratings and Books DataFrames
[2025-06-23 15:51:12]   59 | INFO     | Merged Successfully
[2025-06-23 15:51:12]   60 | INFO     | New DataFrame Shape (539227, 8)
[2025-06-23 15:51:12]   62 | INFO     | Getting Ratings Count for Each Book
[2025-06-23 15:51:12]   66 | INFO     | Ratings Count Obtained Successfully
[2025-06-23 15:51:12]   68 | INFO     | Filtering Books with more than 50 ratings
[2025-06-23 15:51:12]   70 | INFO     | Filtered Successfully
[2025-06-23 15:51:12]   72 | INFO     | Dropping Duplicates
[2025-06-23 15:51:12]   74 | INFO     | Dropped Successfully
[2025-06-23 15:51:12]   76 | INFO     | Final DataFrame Shape (75365, 9)
[2025-06-23 15:51:12]   79 | INFO     | Clean Data Directory Created: artifacts\data_validation\clean_data
[2025-06-23 15:51:13]   81 | INFO     | Clean Data Saved Successfully to artifacts\data_validation\clean_data
[2025-06-23 15:51:13]   84 | INFO     | Serialized Data Directory Created: artifacts\data_validation\serialized_data
[2025-06-23 15:51:13]   86 | INFO     | Serialized Data Saved Successfully to artifacts\data_validation\serialized_data
[2025-06-23 15:51:13]   96 | INFO     | Data validation completed successfully
[2025-06-23 15:51:13]   18 | INFO     | **************************************************
